Crime_type,Crime_address,City,Agency,Crime_date,Crime_time,Crime_address1,Crime_long,Crime_lat
Aggravated assault,2300 block E  Fayette St,Syracuse,Syracuse,6/20/17,10:30 p.m.-10:38 p.m.,2300 block E  Fayette St   Syracuse,NA,NA
Arson,100 block Roney Ln,Syracuse,Syracuse,6/20/17,6:29 a.m.,100 block Roney Ln   Syracuse,NA,NA
Burglary,100 block Comstock Av,Syracuse,Syracuse,6/20/17,2:11 a.m.,100 block Comstock Av   Syracuse,NA,NA
Burglary,100 block E  Lafayette Av,Syracuse,Syracuse,6/20/17,7:05 a.m.,100 block E  Lafayette Av   Syracuse,NA,NA
Burglary,100 block Lewis St,Syracuse,Syracuse,6/20/17,12:30 a.m.-7:10 a.m.,100 block Lewis St   Syracuse,NA,NA
Burglary,100 block Roney Ln,Syracuse,Syracuse,6/20/17,10:00 p.m.-8:45 a.m.,100 block Roney Ln   Syracuse,NA,NA
Burglary,100 block Merriman Av,Syracuse,Syracuse,6/20/17,3:00 p.m.-12:00 p.m.,100 block Merriman Av   Syracuse,NA,NA
Burglary,200 block Bryant Av,Syracuse,Syracuse,6/20/17,12:00 a.m.-7:00 a.m.,200 block Bryant Av   Syracuse,NA,NA
Larceny,100 block Maurice Av,Syracuse,Syracuse,6/20/17,12:18 p.m.-7:00 a.m.,100 block Maurice Av   Syracuse,NA,NA
Larceny,700 block Erie Blvd W,Syracuse,Syracuse,6/20/17,9:27 a.m.,700 block Erie Blvd W   Syracuse,NA,NA
Larceny,300 block Fabius St,Syracuse,Syracuse,6/20/17,6:32 p.m.,300 block Fabius St   Syracuse,NA,NA
Larceny,900 block James St,Syracuse,Syracuse,6/20/17,12:00 a.m.-9:37 a.m.,900 block James St   Syracuse,NA,NA
Larceny,1000 block James St,Syracuse,Syracuse,6/20/17,7:00 p.m.-9:15 a.m.,1000 block James St   Syracuse,NA,NA
Larceny,500 block Tompkins St,Syracuse,Syracuse,6/20/17,7:00 a.m.-7:30 a.m.,500 block Tompkins St   Syracuse,NA,NA
Larceny,100 block W  Fayette St,Syracuse,Syracuse,6/20/17,12:30 p.m.-12:35 p.m.,100 block W  Fayette St   Syracuse,NA,NA
Larceny,100 block E  Onondaga St,Syracuse,Syracuse,6/20/17,9:30 p.m.-9:40 p.m.,100 block E  Onondaga St   Syracuse,NA,NA
Robbery,2900 block James St,Syracuse,Syracuse,6/20/17,11:32 p.m.,2900 block James St   Syracuse,NA,NA
Aggravated assault,200 block Bellevue Av,Syracuse,Syracuse,6/19/17,9:49 a.m.-9:40 a.m.,200 block Bellevue Av   Syracuse,NA,NA
Aggravated assault,400 block Fabius St,Syracuse,Syracuse,6/19/17,5:00 p.m.-1:02 p.m.,400 block Fabius St   Syracuse,NA,NA
Aggravated assault,100 block Lakeview Av,Syracuse,Syracuse,6/19/17,10:18 p.m.,100 block Lakeview Av   Syracuse,NA,NA
Arson,300 block N  Midler Av,Syracuse,Syracuse,6/19/17,5:50 p.m.,300 block N  Midler Av   Syracuse,NA,NA
Burglary,300 block First North St,Syracuse,Syracuse,6/19/17,12:47 a.m.,300 block First North St   Syracuse,NA,NA
Burglary,100 block Roney Ln,Syracuse,Syracuse,6/19/17,7:33 a.m.,100 block Roney Ln   Syracuse,NA,NA
Burglary,300 block Kramer Dr,Syracuse,Syracuse,6/19/17,7:30 p.m.-7:43 p.m.,300 block Kramer Dr   Syracuse,NA,NA
Burglary,400 block Dudley St,Syracuse,Syracuse,6/19/17,11:47 p.m.,400 block Dudley St   Syracuse,NA,NA
Larceny,1400 block Midland Av,Syracuse,Syracuse,6/19/17,2:32 p.m.,1400 block Midland Av   Syracuse,NA,NA
Larceny,700 block Crawford Av,Syracuse,Syracuse,6/19/17,7:00 p.m.-6:30 a.m.,700 block Crawford Av   Syracuse,NA,NA
Larceny,4100 block S  Salina St,Syracuse,Syracuse,6/19/17,3:12 p.m.,4100 block S  Salina St   Syracuse,NA,NA
Larceny,700 block Crawford Av,Syracuse,Syracuse,6/19/17,9:00 a.m.-7:17 p.m.,700 block Crawford Av   Syracuse,NA,NA
Larceny,800 block W  Genesee St,Syracuse,Syracuse,6/19/17,12:00 p.m.-5:00 p.m.,800 block W  Genesee St   Syracuse,NA,NA
Larceny,100 block Roosevelt Av,Syracuse,Syracuse,6/19/17,12:00 a.m.-9:00 p.m.,100 block Roosevelt Av   Syracuse,NA,NA
Larceny,400 block W  Seneca Tpke,Syracuse,Syracuse,6/19/17,10:15 a.m.-8:15 p.m.,400 block W  Seneca Tpke   Syracuse,NA,NA
Aggravated assault,800 block First North St,Syracuse,Syracuse,6/18/17,12:52 a.m.,800 block First North St   Syracuse,NA,NA
Aggravated assault,1400 block S  Salina St,Syracuse,Syracuse,6/18/17,1:15 a.m.,1400 block S  Salina St   Syracuse,NA,NA
Aggravated assault,1100 block Teall Av,Syracuse,Syracuse,6/18/17,11:21 a.m.,1100 block Teall Av   Syracuse,NA,NA
Aggravated assault,400 block W  Newell St,Syracuse,Syracuse,6/18/17,9:31 p.m.,400 block W  Newell St   Syracuse,NA,NA
Aggravated assault,300 block Hudson St,Syracuse,Syracuse,6/18/17,10:35 p.m.-10:40 p.m.,300 block Hudson St   Syracuse,NA,NA
Burglary,600 block E  Division St,Syracuse,Syracuse,6/18/17,2:10 a.m.,600 block E  Division St   Syracuse,NA,NA
Burglary,200 block Herkimer St,Syracuse,Syracuse,6/18/17,9:27 a.m.,200 block Herkimer St   Syracuse,NA,NA
Burglary,300 block Pulaski St,Syracuse,Syracuse,6/18/17,1:12 p.m.,300 block Pulaski St   Syracuse,NA,NA
Larceny,600 block W  Onondaga St,Syracuse,Syracuse,6/18/17,9:30 p.m.-8:30 a.m.,600 block W  Onondaga St   Syracuse,NA,NA
Larceny,100 block Tyler Ct,Syracuse,Syracuse,6/18/17,1:00 a.m.,100 block Tyler Ct   Syracuse,NA,NA
Larceny,400 block Butternut St,Syracuse,Syracuse,6/18/17,4:30 p.m.,400 block Butternut St   Syracuse,NA,NA
Larceny,0 block Kingsley Pl,Syracuse,Syracuse,6/18/17,12:30 a.m.-8:00 a.m.,0 block Kingsley Pl   Syracuse,NA,NA
Larceny,2900 block E  Genesee St,Syracuse,Syracuse,6/18/17,9:00 a.m.-5:00 p.m.,2900 block E  Genesee St   Syracuse,NA,NA
Larceny,200 block Burnet Av,Syracuse,Syracuse,6/18/17,3:00 p.m.-4:00 p.m.,200 block Burnet Av   Syracuse,NA,NA
Larceny,700 block E  Brighton Av,Syracuse,Syracuse,6/18/17,12:30 p.m.,700 block E  Brighton Av   Syracuse,NA,NA
Vehicle theft,2300 block E  Fayette St,Syracuse,Syracuse,6/18/17,4:58 p.m.,2300 block E  Fayette St   Syracuse,NA,NA
Aggravated assault,700 block E  Adams St,Syracuse,Syracuse,6/17/17,12:37 a.m.,700 block E  Adams St   Syracuse,NA,NA
Aggravated assault,300 block Sterling Av,Syracuse,Syracuse,6/17/17,3:00 a.m.-6:12 a.m.,300 block Sterling Av   Syracuse,NA,NA
Aggravated assault,100 block Villiage Dr,Syracuse,Syracuse,6/17/17,9:30 a.m.-9:43 a.m.,100 block Villiage Dr   Syracuse,NA,NA
Burglary,100 block John St,Syracuse,Syracuse,6/17/17,2:15 a.m.,100 block John St   Syracuse,NA,NA
Burglary,700 block W  Onondaga St,Syracuse,Syracuse,6/17/17,6:00 p.m.-3:30 a.m.,700 block W  Onondaga St   Syracuse,NA,NA
Burglary,300 block Rill Av,Syracuse,Syracuse,6/17/17,10:15 a.m.,300 block Rill Av   Syracuse,NA,NA
Larceny,100 block Smith Ln,Syracuse,Syracuse,6/17/17,12:00 a.m.-1:30 a.m.,100 block Smith Ln   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/17/17,12:22 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,400 block Butternut St,Syracuse,Syracuse,6/17/17,4:10 p.m.,400 block Butternut St   Syracuse,NA,NA
Larceny,300 block Shonnard St,Syracuse,Syracuse,6/17/17,4:59 p.m.,300 block Shonnard St   Syracuse,NA,NA
Larceny,200 block Lincoln Av,Syracuse,Syracuse,6/17/17,4:40 p.m.,200 block Lincoln Av   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/17/17,6:28 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,1000 block W  Genesee St,Syracuse,Syracuse,6/17/17,7:04 p.m.,1000 block W  Genesee St   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/17/17,9:15 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,500 block S  Franklin St,Syracuse,Syracuse,6/17/17,9:00 p.m.-11:00 p.m.,500 block S  Franklin St   Syracuse,NA,NA
Larceny,200 block E  Jefferson St,Syracuse,Syracuse,6/17/17,6:30 p.m.-10:30 a.m.,200 block E  Jefferson St   Syracuse,NA,NA
Larceny,100 block Linwell Ter,Syracuse,Syracuse,6/17/17,12:00 p.m.-3:30 p.m.,100 block Linwell Ter   Syracuse,NA,NA
Robbery,1200 block Willis Av,Syracuse,Syracuse,6/17/17,3:00 a.m.,1200 block Willis Av   Syracuse,NA,NA
Robbery,1 block Destiny Usa Dr,Syracuse,Syracuse,6/17/17,9:48 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Robbery,700 block Butternut St,Syracuse,Syracuse,6/17/17,10:00 p.m.,700 block Butternut St   Syracuse,NA,NA
Aggravated assault,1000 block Union Pl,Syracuse,Syracuse,6/16/17,7:30 p.m.,1000 block Union Pl   Syracuse,NA,NA
Burglary,2100 block Park St,Syracuse,Syracuse,6/16/17,3:30 a.m.-4:00 a.m.,2100 block Park St   Syracuse,NA,NA
Burglary,700 block N  Salina St,Syracuse,Syracuse,6/16/17,5:05 a.m.,700 block N  Salina St   Syracuse,NA,NA
Burglary,600 block S  Crouse Av,Syracuse,Syracuse,6/16/17,2:11 p.m.,600 block S  Crouse Av   Syracuse,NA,NA
Larceny,100 block Lincoln Av,Syracuse,Syracuse,6/16/17,10:00 a.m.-5:00 a.m.,100 block Lincoln Av   Syracuse,NA,NA
Larceny,700 block E  Brighton Av,Syracuse,Syracuse,6/16/17,11:22 a.m.,700 block E  Brighton Av   Syracuse,NA,NA
Larceny,700 block 1St North St,Syracuse,Syracuse,6/16/17,3:15 p.m.,700 block 1St North St   Syracuse,NA,NA
Larceny,1500 block S  Geddes St,Syracuse,Syracuse,6/16/17,7:34 p.m.,1500 block S  Geddes St   Syracuse,NA,NA
Larceny,700 block First North St,Syracuse,Syracuse,6/16/17,7:58 p.m.,700 block First North St   Syracuse,NA,NA
Larceny,600 block South Av,Syracuse,Syracuse,6/16/17,8:50 p.m.,600 block South Av   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/16/17,9:52 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,1100 block N  Salina St,Syracuse,Syracuse,6/16/17,11:47 p.m.,1100 block N  Salina St   Syracuse,NA,NA
Larceny,500 block Butternut St,Syracuse,Syracuse,6/16/17,12:50 p.m.,500 block Butternut St   Syracuse,NA,NA
Larceny,0 block Walsh Cir,Syracuse,Syracuse,6/16/17,5:30 p.m.-6:00 p.m.,0 block Walsh Cir   Syracuse,NA,NA
Larceny,100 block Harborside Dr,Syracuse,Syracuse,6/16/17,8:00 p.m.-9:45 p.m.,100 block Harborside Dr   Syracuse,NA,NA
Robbery,300 block Elm St,Syracuse,Syracuse,6/16/17,1:46 p.m.,300 block Elm St   Syracuse,NA,NA
Aggravated assault,100 block Maurice Av,Syracuse,Syracuse,6/15/17,12:15 a.m.,100 block Maurice Av   Syracuse,NA,NA
Aggravated assault,300 block Baker Av,Syracuse,Syracuse,6/15/17,4:00 p.m.-4:15 p.m.,300 block Baker Av   Syracuse,NA,NA
Arson,800 block Highland St,Syracuse,Syracuse,6/15/17,8:00 a.m.-8:01 a.m.,800 block Highland St   Syracuse,NA,NA
Burglary,100 block Dearborn Pl,Syracuse,Syracuse,6/15/17,11:24 a.m.,100 block Dearborn Pl   Syracuse,NA,NA
Larceny,500 block S  Salina St,Syracuse,Syracuse,6/15/17,11:30 a.m.-11:20 a.m.,500 block S  Salina St   Syracuse,NA,NA
Larceny,200 block S  Warren St,Syracuse,Syracuse,6/15/17,1:35 p.m.,200 block S  Warren St   Syracuse,NA,NA
Larceny,600 block Butternut St,Syracuse,Syracuse,6/15/17,4:11 p.m.,600 block Butternut St   Syracuse,NA,NA
Larceny,100 block Vann St,Syracuse,Syracuse,6/15/17,7:00 p.m.-3:30 p.m.,100 block Vann St   Syracuse,NA,NA
Larceny,500 block W  Onondaga St,Syracuse,Syracuse,6/15/17,6:18 p.m.,500 block W  Onondaga St   Syracuse,NA,NA
Larceny,500 block S  Salina St,Syracuse,Syracuse,6/15/17,8:05 p.m.-8:25 p.m.,500 block S  Salina St   Syracuse,NA,NA
Larceny,500 block Erie Blvd W,Syracuse,Syracuse,6/15/17,8:20 p.m.-6:00 a.m.,500 block Erie Blvd W   Syracuse,NA,NA
Larceny,400 block S  Salina St,Syracuse,Syracuse,6/15/17,7:30 a.m.,400 block S  Salina St   Syracuse,NA,NA
Larceny,200 block Magnolia St,Syracuse,Syracuse,6/15/17,11:50 a.m.-2:30 p.m.,200 block Magnolia St   Syracuse,NA,NA
Robbery,700 block Kirkpatrick St,Syracuse,Syracuse,6/15/17,12:44 a.m.,700 block Kirkpatrick St   Syracuse,NA,NA
Robbery,1000 block S  Clinton St,Syracuse,Syracuse,6/15/17,1:32 a.m.,1000 block S  Clinton St   Syracuse,NA,NA
Robbery,0 block Lawrence St,Syracuse,Syracuse,6/15/17,2:43 a.m.,0 block Lawrence St   Syracuse,NA,NA
Robbery,1100 block Butternut St,Syracuse,Syracuse,6/15/17,8:00 p.m.,1100 block Butternut St   Syracuse,NA,NA
Vehicle theft,300 block Wilkinson St,Syracuse,Syracuse,6/15/17,7:19 a.m.,300 block Wilkinson St   Syracuse,NA,NA
Burglary,100 block Furman St,Syracuse,Syracuse,6/14/17,5:24 a.m.,100 block Furman St   Syracuse,NA,NA
Burglary,1 block Destiny Usa Dr,Syracuse,Syracuse,6/14/17,4:55 a.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Burglary,300 block Hudson St,Syracuse,Syracuse,6/14/17,4:38 p.m.,300 block Hudson St   Syracuse,NA,NA
Larceny,2400 block James St,Syracuse,Syracuse,6/14/17,6:18 a.m.,2400 block James St   Syracuse,NA,NA
Larceny,200 block W  Lafayette Av,Syracuse,Syracuse,6/14/17,10:00 a.m.-1:56 p.m.,200 block W  Lafayette Av   Syracuse,NA,NA
Larceny,400 block Butternut St,Syracuse,Syracuse,6/14/17,3:10 p.m.,400 block Butternut St   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/14/17,6:10 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/14/17,6:58 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,300 block Audubon Pkwy,Syracuse,Syracuse,6/14/17,11:54 p.m.,300 block Audubon Pkwy   Syracuse,NA,NA
Larceny,400 block Grant Blvd,Syracuse,Syracuse,6/14/17,11:38 p.m.,400 block Grant Blvd   Syracuse,NA,NA
Larceny,100 block Marshall St,Syracuse,Syracuse,6/14/17,12:05 p.m.-12:10 p.m.,100 block Marshall St   Syracuse,NA,NA
Aggravated assault,100 block Mary St,Syracuse,Syracuse,6/13/17,2:23 a.m.,100 block Mary St   Syracuse,NA,NA
Aggravated assault,600 block Highland St,Syracuse,Syracuse,6/13/17,7:15 a.m.,600 block Highland St   Syracuse,NA,NA
Aggravated assault,600 block Oneida St,Syracuse,Syracuse,6/13/17,12:40 p.m.,600 block Oneida St   Syracuse,NA,NA
Arson,0 block Bear St,Syracuse,Syracuse,6/13/17,2:43 a.m.,0 block Bear St   Syracuse,NA,NA
Burglary,400 block Tompkins St,Syracuse,Syracuse,6/13/17,6:45 a.m.-3:20 p.m.,400 block Tompkins St   Syracuse,NA,NA
Larceny,100 block Slayton Av,Syracuse,Syracuse,6/13/17,4:20 a.m.,100 block Slayton Av   Syracuse,NA,NA
Larceny,100 block Centennial Dr,Syracuse,Syracuse,6/13/17,4:55 p.m.,100 block Centennial Dr   Syracuse,NA,NA
Larceny,1700 block Erie Blvd E,Syracuse,Syracuse,6/13/17,4:59 p.m.,1700 block Erie Blvd E   Syracuse,NA,NA
Larceny,100 block Schiller Av,Syracuse,Syracuse,6/13/17,5:47 p.m.,100 block Schiller Av   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/13/17,6:11 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,4100 block E  Genesee St,Syracuse,Syracuse,6/13/17,1:00 p.m.-9:00 p.m.,4100 block E  Genesee St   Syracuse,NA,NA
Larceny,2000 block E  Fayette St,Syracuse,Syracuse,6/13/17,10:30 p.m.-11:00 p.m.,2000 block E  Fayette St   Syracuse,NA,NA
Larceny,1600 block S  Geddes St,Syracuse,Syracuse,6/13/17,7:20 a.m.,1600 block S  Geddes St   Syracuse,NA,NA
Vehicle theft,1100 block Carbon St,Syracuse,Syracuse,6/13/17,9:00 p.m.-9:00 a.m.,1100 block Carbon St   Syracuse,NA,NA
Burglary,300 block Cleveland Av,Syracuse,Syracuse,6/12/17,12:35 a.m.,300 block Cleveland Av   Syracuse,NA,NA
Burglary,300 block Spring St,Syracuse,Syracuse,6/12/17,1:18 a.m.,300 block Spring St   Syracuse,NA,NA
Burglary,200 block W  Seneca Tpke,Syracuse,Syracuse,6/12/17,8:53 a.m.,200 block W  Seneca Tpke   Syracuse,NA,NA
Burglary,700 block Park Av,Syracuse,Syracuse,6/12/17,9:54 a.m.,700 block Park Av   Syracuse,NA,NA
Burglary,200 block Seneca Dr,Syracuse,Syracuse,6/12/17,10:49 a.m.,200 block Seneca Dr   Syracuse,NA,NA
Burglary,200 block Seneca Dr,Syracuse,Syracuse,6/12/17,10:49 a.m.,200 block Seneca Dr   Syracuse,NA,NA
Larceny,0 block Watertree Dr,Syracuse,Syracuse,6/12/17,8:19 a.m.,0 block Watertree Dr   Syracuse,NA,NA
Larceny,1100 block N  Salina St,Syracuse,Syracuse,6/12/17,2:09 a.m.,1100 block N  Salina St   Syracuse,NA,NA
Larceny,100 block Kappesser St,Syracuse,Syracuse,6/12/17,9:30 p.m.-5:30 a.m.,100 block Kappesser St   Syracuse,NA,NA
Larceny,300 block Beattie St,Syracuse,Syracuse,6/12/17,11:38 a.m.,300 block Beattie St   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/12/17,1:18 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,300 block Vincent St,Syracuse,Syracuse,6/12/17,2:30 p.m.,300 block Vincent St   Syracuse,NA,NA
Larceny,2000 block E  Fayette St,Syracuse,Syracuse,6/12/17,2:50 p.m.,2000 block E  Fayette St   Syracuse,NA,NA
Larceny,4100 block S  Salina St,Syracuse,Syracuse,6/12/17,4:08 p.m.,4100 block S  Salina St   Syracuse,NA,NA
Larceny,100 block W  Ostrander Av,Syracuse,Syracuse,6/12/17,8:00 p.m.-7:58 p.m.,100 block W  Ostrander Av   Syracuse,NA,NA
Larceny,200 block Mariposa St,Syracuse,Syracuse,6/12/17,10:31 p.m.,200 block Mariposa St   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/12/17,2:30 p.m.-3:15 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,200 block Bryant Av,Syracuse,Syracuse,6/12/17,11:11 p.m.-8:00 a.m.,200 block Bryant Av   Syracuse,NA,NA
Larceny,200 block N  State St,Syracuse,Syracuse,6/12/17,5:30 a.m.-5:40 a.m.,200 block N  State St   Syracuse,NA,NA
Larceny,700 block Euclid Av,Syracuse,Syracuse,6/12/17,2:30 p.m.,700 block Euclid Av   Syracuse,NA,NA
Larceny,0 block Predential Plz,Syracuse,Syracuse,6/12/17,6:00 p.m.-8:00 a.m.,0 block Predential Plz   Syracuse,NA,NA
Larceny,100 block W  Fayette St,Syracuse,Syracuse,6/12/17,5:00 p.m.,100 block W  Fayette St   Syracuse,NA,NA
Robbery,400 block Erie Blvd E,Syracuse,Syracuse,6/12/17,10:33 p.m.,400 block Erie Blvd E   Syracuse,NA,NA
Vehicle theft,100 block Roney Ln,Syracuse,Syracuse,6/12/17,8:00 p.m.-7:00 a.m.,100 block Roney Ln   Syracuse,NA,NA
Aggravated assault,100 block Delong Av,Syracuse,Syracuse,6/11/17,5:36 a.m.,100 block Delong Av   Syracuse,NA,NA
Aggravated assault,300 block W  Beard Av,Syracuse,Syracuse,6/11/17,6:30 a.m.,300 block W  Beard Av   Syracuse,NA,NA
Aggravated assault,700 block E  Adams St,Syracuse,Syracuse,6/11/17,11:32 p.m.,700 block E  Adams St   Syracuse,NA,NA
Larceny,1100 block N  Salina St,Syracuse,Syracuse,6/11/17,4:42 a.m.,1100 block N  Salina St   Syracuse,NA,NA
Larceny,4700 block Onondaga Blvd,Syracuse,Syracuse,6/11/17,6:45 p.m.,4700 block Onondaga Blvd   Syracuse,NA,NA
Larceny,1600 block Spring St,Syracuse,Syracuse,6/11/17,12:00 p.m.,1600 block Spring St   Syracuse,NA,NA
Larceny,100 block Berkeley Dr,Syracuse,Syracuse,6/11/17,3:00 a.m.-3:25 a.m.,100 block Berkeley Dr   Syracuse,NA,NA
Larceny,100 block W  Fayette St,Syracuse,Syracuse,6/11/17,9:00 a.m.-11:10 p.m.,100 block W  Fayette St   Syracuse,NA,NA
Larceny,100 block W  Jefferson St,Syracuse,Syracuse,6/11/17,9:40 a.m.-2:41 p.m.,100 block W  Jefferson St   Syracuse,NA,NA
Robbery,1400 block S  Salina St,Syracuse,Syracuse,6/11/17,11:03 p.m.,1400 block S  Salina St   Syracuse,NA,NA
Vehicle theft,200 block Beattie St,Syracuse,Syracuse,6/11/17,10:59 p.m.,200 block Beattie St   Syracuse,NA,NA
Aggravated assault,100 block Blk Peters St,Syracuse,Syracuse,6/10/17,1:42 a.m.,100 block Blk Peters St   Syracuse,NA,NA
Burglary,1400 block Burnet Av,Syracuse,Syracuse,6/10/17,8:16 a.m.,1400 block Burnet Av   Syracuse,NA,NA
Burglary,600 block S  Beech St,Syracuse,Syracuse,6/10/17,6:00 p.m.,600 block S  Beech St   Syracuse,NA,NA
Larceny,500 block S  Salina St,Syracuse,Syracuse,6/10/17,8:19 p.m.,500 block S  Salina St   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/10/17,11:10 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,1400 block Hawley Av,Syracuse,Syracuse,6/10/17,12:00 p.m.,1400 block Hawley Av   Syracuse,NA,NA
Larceny,1000 block Col Eileen Collins Blvd,Syracuse,Syracuse,6/10/17,6:00 a.m.-10:00 a.m.,1000 block Col Eileen Collins Blvd   Syracuse,NA,NA
Larceny,1200 block South Av,Syracuse,Syracuse,6/10/17,9:30 a.m.-4:05 p.m.,1200 block South Av   Syracuse,NA,NA
Aggravated assault,100 block Dyer Ct,Syracuse,Syracuse,6/9/17,2:11 p.m.,100 block Dyer Ct   Syracuse,NA,NA
Aggravated assault,1500 block Caleb Av,Syracuse,Syracuse,6/9/17,7:09 p.m.,1500 block Caleb Av   Syracuse,NA,NA
Burglary,400 block Ash St,Syracuse,Syracuse,6/9/17,1:00 a.m.,400 block Ash St   Syracuse,NA,NA
Burglary,100 block Clarendon St,Syracuse,Syracuse,6/9/17,8:00 a.m.-3:00 p.m.,100 block Clarendon St   Syracuse,NA,NA
Burglary,4700 block S  Salina St,Syracuse,Syracuse,6/9/17,10:00 p.m.-5:15 p.m.,4700 block S  Salina St   Syracuse,NA,NA
Burglary,2000 block E  Genesee St,Syracuse,Syracuse,6/9/17,9:00 a.m.-6:00 p.m.,2000 block E  Genesee St   Syracuse,NA,NA
Burglary,200 block Moore Av,Syracuse,Syracuse,6/9/17,10:00 p.m.,200 block Moore Av   Syracuse,NA,NA
Larceny,400 block S  Alvord St,Syracuse,Syracuse,6/9/17,11:06 a.m.,400 block S  Alvord St   Syracuse,NA,NA
Larceny,200 block Ash St,Syracuse,Syracuse,6/9/17,3:00 p.m.-11:00 a.m.,200 block Ash St   Syracuse,NA,NA
Larceny,500 block Wadsworth St,Syracuse,Syracuse,6/9/17,11:32 a.m.,500 block Wadsworth St   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/9/17,1:16 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,200 block Rowland St,Syracuse,Syracuse,6/9/17,4:00 p.m.,200 block Rowland St   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/9/17,6:51 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,1 block Destiny Usa Dr,Syracuse,Syracuse,6/9/17,7:09 p.m.,1 block Destiny Usa Dr   Syracuse,NA,NA
Larceny,700 block First North St,Syracuse,Syracuse,6/9/17,7:22 p.m.,700 block First North St   Syracuse,NA,NA
Larceny,200 block Magnolia St,Syracuse,Syracuse,6/9/17,8:15 a.m.,200 block Magnolia St   Syracuse,NA,NA
Robbery,2000 block E  Fayette St,Syracuse,Syracuse,6/9/17,12:29 a.m.,2000 block E  Fayette St   Syracuse,NA,NA
Vehicle theft,200 block Kirkpatrick St,Syracuse,Syracuse,6/9/17,11:58 a.m.,200 block Kirkpatrick St   Syracuse,NA,NA
Aggravated assault,100 block Coolidge Av,Syracuse,Syracuse,6/8/17,8:16 a.m.,100 block Coolidge Av   Syracuse,NA,NA
Aggravated assault,200 block Chavez Ter,Syracuse,Syracuse,6/8/17,11:38 a.m.,200 block Chavez Ter   Syracuse,NA,NA
Arson,200 block Grumbach Av,Syracuse,Syracuse,6/8/17,1:06 a.m.,200 block Grumbach Av   Syracuse,NA,NA
Burglary,100 block Annetta St,Syracuse,Syracuse,6/8/17,12:46 a.m.,100 block Annetta St   Syracuse,NA,NA
Burglary,100 block Lillian Av,Syracuse,Syracuse,6/8/17,1:13 a.m.,100 block Lillian Av   Syracuse,NA,NA
Burglary,700 block W  Newell St,Syracuse,Syracuse,6/8/17,12:16 p.m.,700 block W  Newell St   Syracuse,NA,NA
Burglary,1700 block Meadowbrook Dr,Syracuse,Syracuse,6/8/17,11:30 a.m.-1:00 p.m.,1700 block Meadowbrook Dr   Syracuse,NA,NA
Burglary,300 block Hudson St,Syracuse,Syracuse,6/8/17,5:15 p.m.,300 block Hudson St   Syracuse,NA,NA
Burglary,700 block E  Division St,Syracuse,Syracuse,6/8/17,11:02 p.m.,700 block E  Division St   Syracuse,NA,NA
Larceny,200 block N  State St,Syracuse,Syracuse,6/8/17,4:13 a.m.,200 block N  State St   Syracuse,NA,NA
Larceny,1000 block Wolf St,Syracuse,Syracuse,6/8/17,12:00 a.m.-11:51 a.m.,1000 block Wolf St   Syracuse,NA,NA
Larceny,100 block Josephine St,Syracuse,Syracuse,6/8/17,12:58 p.m.,100 block Josephine St   Syracuse,NA,NA
Larceny,700 block N  Clinton St,Syracuse,Syracuse,6/8/17,2:44 p.m.,700 block N  Clinton St   Syracuse,NA,NA
Larceny,200 block W  Corning Av,Syracuse,Syracuse,6/8/17,4:00 p.m.-5:47 p.m.,200 block W  Corning Av   Syracuse,NA,NA
Larceny,1300 block Butternut St,Syracuse,Syracuse,6/8/17,8:03 p.m.,1300 block Butternut St   Syracuse,NA,NA
